emd_nm,total_pop_2017,hh_cnt_2017,hh_pop_cnt_2017,male_pop_2017,female_pop_2017,sex_ratio_2017,total_pop_2018,hh_cnt_2018,hh_pop_cnt_2018,male_pop_2018,female_pop_2018,sex_ratio_2018,total_pop_2019,hh_cnt_2019,hh_pop_cnt_2019,male_pop_2019,female_pop_2019,sex_ratio_2019,total_pop_2020,hh_cnt_2020,hh_pop_cnt_2020,male_pop_2020,female_pop_2020,sex_ratio_2020
광양읍,50261,20578,2.44,25322,24939,1.02,50844,21031,2.42,25758,25086,1.03,50938,21596,2.36,25931,25007,1.04,49131,21397,2.3,25139,23992,1.05
봉강면,2318,1117,2.08,1210,1108,1.09,2320,1140,2.04,1212,1108,1.09,2349,1157,2.03,1237,1112,1.11,2212,1128,1.96,1149,1063,1.08
옥룡면,3218,1592,2.02,1603,1615,0.99,3329,1644,2.02,1644,1685,0.98,3380,1755,1.93,1694,1686,1,3126,1710,1.83,1549,1577,0.98
옥곡면,3204,1518,2.11,1646,1558,1.06,3132,1553,2.02,1619,1513,1.07,3139,1602,1.96,1598,1541,1.04,2877,1566,1.84,1478,1399,1.06
진상면,3158,1596,1.98,1554,1604,0.97,3077,1602,1.92,1529,1548,0.99,3126,1705,1.83,1578,1548,1.02,2867,1618,1.77,1435,1432,1
진월면,3132,1558,2.01,1545,1587,0.97,3049,1550,1.97,1515,1534,0.99,3014,1587,1.9,1482,1532,0.97,2831,1539,1.84,1398,1433,0.98
다압면,1876,949,1.98,928,948,0.98,1889,982,1.92,954,935,1.02,1886,1034,1.82,956,930,1.03,1840,1047,1.76,926,914,1.01
골약동,1888,996,1.9,1001,887,1.13,1799,959,1.88,978,821,1.19,1871,1055,1.77,1014,857,1.18,1648,955,1.73,915,733,1.25
중마동,58654,21585,2.72,30430,28224,1.08,59450,22320,2.66,30923,28527,1.08,59577,22691,2.63,31132,28445,1.09,58469,23076,2.53,30734,27735,1.11
광영동,12565,5149,2.44,6638,5927,1.12,12441,5205,2.39,6560,5881,1.12,12691,5460,2.32,6707,5984,1.12,12593,5573,2.26,6680,5913,1.13
금호동,13478,5108,2.64,7293,6185,1.18,13255,5189,2.55,7203,6052,1.19,12832,5076,2.53,6974,5858,1.19,12344,5071,2.43,6730,5614,1.2
태인동,2105,1044,2.02,1131,974,1.16,1979,1011,1.96,1077,902,1.19,1947,1007,1.93,1062,885,1.2,1831,988,1.85,1011,820,1.23
