행정구역(읍면동)별(1),시점,세대수 (세대),등록인구 (명),65세이상고령자 (명)
광양읍,2010,16392,44708,4476
광양읍,2011,17719,47590,4673
광양읍,2012,18013,47604,4896
광양읍,2013,18568,48668,5123
광양읍,2014,19032,49612,5345
광양읍,2015,19501,50348,5684
광양읍,2016,20278,51464,5962
광양읍,2017,20578,50850,6224
광양읍,2018,21031,51440,6447
광양읍,2019,21596,51612,6799
봉강면,2010,978,2381,660
봉강면,2011,1038,2468,693
봉강면,2012,1016,2333,686
봉강면,2013,994,2276,692
봉강면,2014,973,2165,689
봉강면,2015,987,2157,691
봉강면,2016,1059,2276,700
봉강면,2017,1117,2345,707
봉강면,2018,1140,2349,721
봉강면,2019,1157,2373,731
옥룡면,2010,1427,3296,1038
옥룡면,2011,1494,3375,1045
옥룡면,2012,1507,3347,1060
옥룡면,2013,1487,3270,1085
옥룡면,2014,1478,3153,1095
옥룡면,2015,1488,3164,1094
옥룡면,2016,1568,3263,1100
옥룡면,2017,1592,3234,1106
옥룡면,2018,1644,3342,1105
옥룡면,2019,1755,3397,1125
옥곡면,2010,1621,4019,945
옥곡면,2011,1628,3998,950
옥곡면,2012,1641,3898,982
옥곡면,2013,1563,3609,965
옥곡면,2014,1537,3466,1004
옥곡면,2015,1538,3408,1011
옥곡면,2016,1522,3296,1006
옥곡면,2017,1518,3250,1018
옥곡면,2018,1553,3182,1026
옥곡면,2019,1602,3163,1058
진상면,2010,1597,3595,1106
진상면,2011,1602,3582,1102
진상면,2012,1593,3451,1132
진상면,2013,1582,3320,1145
진상면,2014,1579,3248,1164
진상면,2015,1601,3208,1164
진상면,2016,1586,3237,1192
진상면,2017,1596,3178,1183
진상면,2018,1602,3094,1178
진상면,2019,1705,3141,1202
진월면,2010,1611,3741,1107
진월면,2011,1643,3752,1104
진월면,2012,1618,3612,1122
진월면,2013,1610,3522,1147
진월면,2014,1602,3418,1166
진월면,2015,1608,3366,1189
진월면,2016,1576,3295,1201
진월면,2017,1558,3190,1221
진월면,2018,1550,3117,1204
진월면,2019,1587,3079,1214
다압면,2010,921,2054,597
다압면,2011,915,1985,594
다압면,2012,904,1956,613
다압면,2013,917,1963,636
다압면,2014,927,1922,657
다압면,2015,936,1890,657
다압면,2016,912,1845,650
다압면,2017,949,1894,655
다압면,2018,982,1908,657
다압면,2019,1034,1901,666
골약동,2010,1161,2660,669
골약동,2011,1203,2702,669
골약동,2012,1209,2663,702
골약동,2013,1196,2633,729
골약동,2014,1155,2518,748
골약동,2015,1078,2274,727
골약동,2016,1036,2113,721
골약동,2017,996,1915,672
골약동,2018,959,1820,660
골약동,2019,1055,1894,668
중마동,2010,16680,48942,1491
중마동,2011,17846,51286,1618
중마동,2012,18194,52199,1713
중마동,2013,18363,52526,1784
중마동,2014,19124,53944,1922
중마동,2015,19660,55431,2117
중마동,2016,20626,57257,2309
중마동,2017,21585,59150,2598
중마동,2018,22320,59981,2815
중마동,2019,22691,60163,3026
광영동,2010,4708,12427,669
광영동,2011,4936,12963,714
광영동,2012,4990,13138,744
광영동,2013,5267,13781,849
광영동,2014,5171,13401,914
광영동,2015,5196,13216,998
광영동,2016,5205,13026,1069
광영동,2017,5149,12708,1146
광영동,2018,5205,12590,1218
광영동,2019,5460,12821,1326
태인동,2010,1140,2804,440
태인동,2011,1123,2673,435
태인동,2012,1107,2567,458
태인동,2013,1078,2500,456
태인동,2014,1036,2362,486
태인동,2015,1032,2300,497
태인동,2016,1038,2263,499
태인동,2017,1044,2169,487
태인동,2018,1011,2046,486
태인동,2019,1007,2010,507
금호동,2010,5187,16052,416
금호동,2011,5295,15793,417
금호동,2012,5234,15456,441
금호동,2013,5082,14927,463
금호동,2014,5084,14461,467
금호동,2015,5164,14355,540
금호동,2016,5081,13842,617
금호동,2017,5108,13520,695
금호동,2018,5189,13299,802
금호동,2019,5076,12883,978
